station_id,longitude (degrees east),latitude (degrees north),date_time,depth (meters),sea_water.pressure (dbar),wind.from_direction (deg),wave.height (m),sea_water.salinity (psu),wave.from_direction.wrt_dominant_wave_period (deg),wind.speed.standard_deviation (m/s),wind.from_direction.standard_deviation (deg),frequency.measurement.oxygen.sensor (Hz),oxygen.fractional_saturation.in_sea_water (%),air.temperature (degC),wave.from_direction.mean (deg),dominant.wave.period (s),wave.period.mean (s),temperature.dew_point (degC),visibility.in_air (nmi),height.water_surface.above_reference_datum (m),sea_water.electrical_conductivity (uS/m),wind.speed (m/s),time.wrt_wind_speed.maximum (seconds since 1970-01-01 00:00:00),wind.from_direction.wrt_wind_speed.maximum (deg),wind.speed.maximum (m/s),sea_water.pressure.expressed_as.height (m),sea_water.current.speed (m/s),sea_water.current.to_direction (deg),air.pressure (hPa),mole.concentration_of.dissolved_molecular.oxygen.in_sea_water (umol/kg),existence.reporting_mode.wrt_platform (-),carbon_dioxide.fugacity.in_sea_water (uatm),volume_beam_attenuation_coefficient.radiative_flux.in_sea_water (1/m),emissivity_ratio_of_425nm_peak_to_685nm_peak (-),sea_water.sigma_theta (kg/m**3),sea_surface.temperature (degC),sea_water.temperature (degC),air.pressure.at_sensor_altitude (hPa),sea_water.current.speed.u (m/s),sea_water.current.speed.v (m/s),air.pressure.at_sea_level (hPa),height.water_surface.above_reference_datum.due_to_tides (m),mass.concentration_of.chlorophyll.in_sea_water (mg/m**3),mole.concentration_of.dissolved_molecular.oxygen.per_unit_mass.in_sea_water (umol/kg),wind.from_direction.mean (deg),water.volume.transport.from_rivers.into_sea_water (m**3/s)
3509743,-52.4958,-68.5592,2001-09-08T03:04:00Z,-50,,,,,,,,,,,,,,,,,,,,,,,0.421048,301.500522589,,,,,,,,,,,-0.359,0.22,,,,,,
3509743,-52.4958,-68.5592,2001-09-08T03:04:00Z,-40,,,,,,,,,,,,,,,,,,,,,,,0.443081,302.183575657,,,,,,,,,,,-0.375,0.236,,,,,,
3509743,-52.5762,-68.3181,2001-09-08T04:01:00Z,-50,,,,,,,,,,,,,,,,,,,,,,,0.286751,328.693568392,,,,,,,,,,,-0.149,0.245,,,,,,
3509743,-52.5762,-68.3181,2001-09-08T04:01:00Z,-40,,,,,,,,,,,,,,,,,,,,,,,0.313576,319.656347026,,,,,,,,,,,-0.203,0.239,,,,,,
3509743,-52.7048,-68.0929,2001-09-08T05:01:00Z,-60,,,,,,,,,,,,,,,,,,,,,,,0.077201,36.5730299675,,,,,,,,,,,0.046,0.062,,,,,,
3509743,-52.7048,-68.0929,2001-09-08T05:01:00Z,-50,,,,,,,,,,,,,,,,,,,,,,,0.0518556,50.4773690043,,,,,,,,,,,0.04,0.033,,,,,,
3509743,-52.7048,-68.0929,2001-09-08T05:01:00Z,-40,,,,,,,,,,,,,,,,,,,,,,,0.0536004,75.9637588544,,,,,,,,,,,0.052,0.013,,,,,,
3509743,-52.8458,-67.8586,2001-09-08T06:01:00Z,-50,,,,,,,,,,,,,,,,,,,,,,,0.368318,118.722184229,,,,,,,,,,,0.323,-0.177,,,,,,
3509743,-52.8458,-67.8586,2001-09-08T06:01:00Z,-40,,,,,,,,,,,,,,,,,,,,,,,0.389853,120.182383051,,,,,,,,,,,0.337,-0.196,,,,,,
3509743,-52.9918,-67.6187,2001-09-08T07:01:00Z,-50,,,,,,,,,,,,,,,,,,,,,,,0.558032,126.253833826,,,,,,,,,,,0.45,-0.33,,,,,,
3509743,-52.9918,-67.6187,2001-09-08T07:01:00Z,-40,,,,,,,,,,,,,,,,,,,,,,,0.589143,125.60551227,,,,,,,,,,,0.479,-0.343,,,,,,
3509743,-53.1399,-67.3725,2001-09-08T08:01:00Z,-50,,,,,,,,,,,,,,,,,,,,,,,0.589788,134.17565115,,,,,,,,,,,0.423,-0.411,,,,,,
3509743,-53.1399,-67.3725,2001-09-08T08:01:00Z,-40,,,,,,,,,,,,,,,,,,,,,,,0.619948,132.646699644,,,,,,,,,,,0.456,-0.42,,,,,,
3509743,-53.2845,-67.1285,2001-09-08T09:01:00Z,-50,,,,,,,,,,,,,,,,,,,,,,,0.400746,141.585805343,,,,,,,,,,,0.249,-0.314,,,,,,
3509743,-53.2845,-67.1285,2001-09-08T09:01:00Z,-40,,,,,,,,,,,,,,,,,,,,,,,0.422043,138.073339581,,,,,,,,,,,0.282,-0.314,,,,,,
3509743,-53.4233,-66.8981,2001-09-08T10:01:00Z,-60,,,,,,,,,,,,,,,,,,,,,,,0.141481,253.998981629,,,,,,,,,,,-0.136,-0.039,,,,,,
3509743,-53.4233,-66.8981,2001-09-08T10:01:00Z,-50,,,,,,,,,,,,,,,,,,,,,,,0.0956033,217.349340845,,,,,,,,,,,-0.058,-0.076,,,,,,
3509743,-53.4233,-66.8981,2001-09-08T10:01:00Z,-40,,,,,,,,,,,,,,,,,,,,,,,0.0933435,184.916570061,,,,,,,,,,,-0.008,-0.093,,,,,,
3509743,-53.5518,-66.6815,2001-09-08T11:01:00Z,-60,,,,,,,,,,,,,,,,,,,,,,,0.35183,290.289197368,,,,,,,,,,,-0.33,0.122,,,,,,
3509743,-53.5518,-66.6815,2001-09-08T11:01:00Z,-50,,,,,,,,,,,,,,,,,,,,,,,0.335935,289.837387185,,,,,,,,,,,-0.316,0.114,,,,,,
3509743,-53.5518,-66.6815,2001-09-08T11:01:00Z,-40,,,,,,,,,,,,,,,,,,,,,,,0.312866,289.998750404,,,,,,,,,,,-0.294,0.107,,,,,,
3509743,-53.6736,-66.4767,2001-09-08T12:01:00Z,-60,,,,,,,,,,,,,,,,,,,,,,,0.57918,295.901420375,,,,,,,,,,,-0.521,0.253,,,,,,
3509743,-53.6736,-66.4767,2001-09-08T12:01:00Z,-50,,,,,,,,,,,,,,,,,,,,,,,0.581916,295.552240615,,,,,,,,,,,-0.525,0.251,,,,,,
3509743,-53.6736,-66.4767,2001-09-08T12:01:00Z,-40,,,,,,,,,,,,,,,,,,,,,,,0.578719,296.03372797,,,,,,,,,,,-0.52,0.254,,,,,,
3509743,-53.7913,-66.2768,2001-09-08T13:01:00Z,-70,,,,,,,,,,,,,,,,,,,,,,,0.606928,297.367226783,,,,,,,,,,,-0.539,0.279,,,,,,
3509743,-53.7913,-66.2768,2001-09-08T13:01:00Z,-60,,,,,,,,,,,,,,,,,,,,,,,0.621643,296.152853299,,,,,,,,,,,-0.558,0.274,,,,,,
3509743,-53.7913,-66.2768,2001-09-08T13:01:00Z,-50,,,,,,,,,,,,,,,,,,,,,,,0.630341,295.060822164,,,,,,,,,,,-0.571,0.267,,,,,,
3509743,-53.7913,-66.2768,2001-09-08T13:01:00Z,-40,,,,,,,,,,,,,,,,,,,,,,,0.645565,295.016897218,,,,,,,,,,,-0.585,0.273,,,,,,
3509743,-53.9114,-66.077,2001-09-08T14:01:00Z,-70,,,,,,,,,,,,,,,,,,,,,,,0.427968,293.989677748,,,,,,,,,,,-0.391,0.174,,,,,,
3509743,-53.9114,-66.077,2001-09-08T14:01:00Z,-60,,,,,,,,,,,,,,,,,,,,,,,0.464424,291.870140274,,,,,,,,,,,-0.431,0.173,,,,,,
3509743,-53.9114,-66.077,2001-09-08T14:01:00Z,-50,,,,,,,,,,,,,,,,,,,,,,,0.49052,290.65174381,,,,,,,,,,,-0.459,0.173,,,,,,
3509743,-53.9114,-66.077,2001-09-08T14:01:00Z,-40,,,,,,,,,,,,,,,,,,,,,,,0.503438,288.650887704,,,,,,,,,,,-0.477,0.161,,,,,,
3509743,-54.0359,-65.8636,2001-09-08T15:01:00Z,-70,,,,,,,,,,,,,,,,,,,,,,,0.174909,287.295402512,,,,,,,,,,,-0.167,0.052,,,,,,
3509743,-54.0359,-65.8636,2001-09-08T15:01:00Z,-60,,,,,,,,,,,,,,,,,,,,,,,0.167586,277.888346893,,,,,,,,,,,-0.166,0.023,,,,,,
3509743,-54.0359,-65.8636,2001-09-08T15:01:00Z,-50,,,,,,,,,,,,,,,,,,,,,,,0.178011,270.643742825,,,,,,,,,,,-0.178,0.002,,,,,,
3509743,-54.0359,-65.8636,2001-09-08T15:01:00Z,-40,,,,,,,,,,,,,,,,,,,,,,,0.183175,267.496862938,,,,,,,,,,,-0.183,-0.008,,,,,,
3509743,-54.1684,-65.6359,2001-09-08T16:01:00Z,-70,,,,,,,,,,,,,,,,,,,,,,,0.204619,127.653954304,,,,,,,,,,,0.162,-0.125,,,,,,
3509743,-54.1684,-65.6359,2001-09-08T16:01:00Z,-60,,,,,,,,,,,,,,,,,,,,,,,0.21445,132.543263259,,,,,,,,,,,0.158,-0.145,,,,,,
3509743,-54.1684,-65.6359,2001-09-08T16:01:00Z,-50,,,,,,,,,,,,,,,,,,,,,,,0.223486,136.087762608,,,,,,,,,,,0.155,-0.161,,,,,,
3509743,-54.1684,-65.6359,2001-09-08T16:01:00Z,-40,,,,,,,,,,,,,,,,,,,,,,,0.222407,140.656216597,,,,,,,,,,,0.141,-0.172,,,,,,
3509743,-54.3101,-65.3919,2001-09-08T17:01:00Z,-70,,,,,,,,,,,,,,,,,,,,,,,0.56665,118.917117828,,,,,,,,,,,0.496,-0.274,,,,,,
3509743,-54.3101,-65.3919,2001-09-08T17:01:00Z,-60,,,,,,,,,,,,,,,,,,,,,,,0.585683,121.383198609,,,,,,,,,,,0.5,-0.305,,,,,,
3509743,-54.3101,-65.3919,2001-09-08T17:01:00Z,-50,,,,,,,,,,,,,,,,,,,,,,,0.609349,123.35104441,,,,,,,,,,,0.509,-0.335,,,,,,
3509743,-54.3101,-65.3919,2001-09-08T17:01:00Z,-40,,,,,,,,,,,,,,,,,,,,,,,0.631276,124.218710661,,,,,,,,,,,0.522,-0.355,,,,,,
3509743,-54.4577,-65.1345,2001-09-08T18:01:00Z,-70,,,,,,,,,,,,,,,,,,,,,,,0.789861,120.00579534,,,,,,,,,,,0.684,-0.395,,,,,,
3509743,-54.4577,-65.1345,2001-09-08T18:01:00Z,-60,,,,,,,,,,,,,,,,,,,,,,,0.818213,118.945777301,,,,,,,,,,,0.716,-0.396,,,,,,
3509743,-54.4577,-65.1345,2001-09-08T18:01:00Z,-50,,,,,,,,,,,,,,,,,,,,,,,0.839431,118.45793787,,,,,,,,,,,0.738,-0.4,,,,,,
3509743,-54.4577,-65.1345,2001-09-08T18:01:00Z,-40,,,,,,,,,,,,,,,,,,,,,,,0.850273,117.529441954,,,,,,,,,,,0.754,-0.393,,,,,,
3509743,-54.6316,-64.9666,2001-09-08T19:01:00Z,-70,,,,,,,,,,,,,,,,,,,,,,,0.760013,137.239482767,,,,,,,,,,,0.516,-0.558,,,,,,
3509743,-54.6316,-64.9666,2001-09-08T19:01:00Z,-60,,,,,,,,,,,,,,,,,,,,,,,0.851399,134.428969206,,,,,,,,,,,0.608,-0.596,,,,,,
3509743,-54.6316,-64.9666,2001-09-08T19:01:00Z,-50,,,,,,,,,,,,,,,,,,,,,,,0.883939,134.358317729,,,,,,,,,,,0.632,-0.618,,,,,,
3509743,-54.6316,-64.9666,2001-09-08T19:01:00Z,-40,,,,,,,,,,,,,,,,,,,,,,,0.917451,133.454219249,,,,,,,,,,,0.666,-0.631,,,,,,
3509743,-54.8318,-64.967,2001-09-08T20:01:00Z,-80,,,,,,,,,,,,,,,,,,,,,,,0.0865852,345.96375635,,,,,,,,,,,-0.021,0.084,,,,,,
3509743,-54.8318,-64.967,2001-09-08T20:01:00Z,-70,,,,,,,,,,,,,,,,,,,,,,,0.12659,332.220380966,,,,,,,,,,,-0.059,0.112,,,,,,
3509743,-54.8318,-64.967,2001-09-08T20:01:00Z,-60,,,,,,,,,,,,,,,,,,,,,,,0.110064,342.552811105,,,,,,,,,,,-0.033,0.105,,,,,,
3509743,-54.8318,-64.967,2001-09-08T20:01:00Z,-50,,,,,,,,,,,,,,,,,,,,,,,0.0953362,355.186448942,,,,,,,,,,,-0.008,0.095,,,,,,
3509743,-54.8318,-64.967,2001-09-08T20:01:00Z,-40,,,,,,,,,,,,,,,,,,,,,,,0.086885,11.9565833827,,,,,,,,,,,0.018,0.085,,,,,,
3509743,-55.0091,-64.9623,2001-09-08T20:59:00Z,-180,,,,,,,,,,,,,,,,,,,,,,,0.468846,32.3680888918,,,,,,,,,,,0.251,0.396,,,,,,
3509743,-55.0091,-64.9623,2001-09-08T20:59:00Z,-170,,,,,,,,,,,,,,,,,,,,,,,0.475405,37.1350418381,,,,,,,,,,,0.287,0.379,,,,,,
3509743,-55.0091,-64.9623,2001-09-08T20:59:00Z,-150,,,,,,,,,,,,,,,,,,,,,,,0.498571,45.8939022599,,,,,,,,,,,0.358,0.347,,,,,,
3509743,-55.0091,-64.9623,2001-09-08T20:59:00Z,-140,,,,,,,,,,,,,,,,,,,,,,,0.527243,51.3911048813,,,,,,,,,,,0.412,0.329,,,,,,
